project_id,project_name,start_date,end_date,budget,date,cumulative_spend,milestone,milestone_date
P001,Construcción Torre A,2024-01-01,2024-12-31,1000000,2024-01-31,50000,Mov. de Tierra,2024-02-15
P001,Construcción Torre A,2024-01-01,2024-12-31,1000000,2024-02-28,120000,Cimentación,2024-03-10
P001,Construcción Torre A,2024-01-01,2024-12-31,1000000,2024-03-31,260000,Estructura,2024-04-20
P001,Construcción Torre A,2024-01-01,2024-12-31,1000000,2024-04-30,380000,Instalaciones,2024-05-25
P001,Construcción Torre A,2024-01-01,2024-12-31,1000000,2024-05-31,510000,Acabados,2024-06-30
P002,Rehabilitación Sede B,2024-02-01,2024-07-31,300000,2024-02-28,25000,Inspección,2024-03-05
P002,Rehabilitación Sede B,2024-02-01,2024-07-31,300000,2024-03-31,70000,Obra Mayor,2024-04-10
P002,Rehabilitación Sede B,2024-02-01,2024-07-31,300000,2024-04-30,150000,Instalaciones,2024-05-05
P002,Rehabilitación Sede B,2024-02-01,2024-07-31,300000,2024-05-31,220000,Acabados,2024-06-10
P003,Ampliación Planta C,2024-03-01,2024-11-30,600000,2024-03-31,40000,Estudios,2024-04-01
P003,Ampliación Planta C,2024-03-01,2024-11-30,600000,2024-04-30,95000,Cimentación,2024-05-10
P003,Ampliación Planta C,2024-03-01,2024-11-30,600000,2024-05-31,170000,Estructura,2024-06-20
P003,Ampliación Planta C,2024-03-01,2024-11-30,600000,2024-06-30,260000,Instalaciones,2024-07-15
P004,Mejora Infraestructura D,2024-01-15,2024-09-15,450000,2024-02-15,30000,Inicio,2024-02-20
P004,Mejora Infraestructura D,2024-01-15,2024-09-15,450000,2024-03-15,70000,Obra,2024-04-01
P004,Mejora Infraestructura D,2024-01-15,2024-09-15,450000,2024-04-15,135000,Media Obra,2024-05-01
P005,Proyecto Piloto E,2024-05-01,2024-08-31,120000,2024-05-31,25000,Inicio,2024-05-10
P005,Proyecto Piloto E,2024-05-01,2024-08-31,120000,2024-06-30,65000,Implementación,2024-07-05
P005,Proyecto Piloto E,2024-05-01,2024-08-31,120000,2024-07-31,110000,Pruebas,2024-08-01
